"","0_SB_15","0_SB_16","100_JS_5","100_MI_3","115_MI_4","120_JF_9","120_JS_2","125_JS_6","140_JS_7","200_JF_11","25_JF_12","50_JS_1","5_JF_TS1","80_JF_10","80_JF_8","80_JF_TS1","80_SB_14","85_JF_TS2"
"ASV31",0.936700769082986,0.136344756449401,0.212691558025108,0.153759482893141,0.175355622498041,0.144017774549698,0.204832690800024,0.169524101584564,0.158190641430712,0.0560310380025001,0.126301422083772,0.298549660485973,0.146936127803859,0.13767138129874,0.179207846343518,0.0248218295924442,0.249153603233056,0.125157218013515
"ASV32",0.0175114110079801,0.140943566209563,0.241247220599755,0.977495603434408,0.738920657415327,0.160285451332699,0.182663689363128,0.138231210716825,0.178847504498252,0.0602535619035207,0.977015436418193,0.738743026503634,0.740415280137747,0.15959368455318,0.135275209257581,0.734580935264023,0.177891514146999,0.020189749750742
"ASV33",0.25929942824691,0.150458928179115,0.000494626506590845,0.743556517694412,0.160251394104527,0.153457696990098,0.146019659738892,0.141496406190297,0.168189113113084,0.186500756017822,0.144474785210986,0.147032113963612,0.155151692482027,0.743234041975455,0.13394586418119,0.153293663372892,0.159477865688018,0.190712073926801
"ASV34",0.00116512211894166,0.158313351800048,0.121520875023004,0.137693936104056,0.173087082858367,0.18201894083129,0.976743971390837,0.143504567054023,0.74500748805856,0.00256538960057194,0.209793484048233,0.272678734518636,0.736694278194252,0.0205087696428822,0.749026356132987,0.734869347385629,0.156036958569496,0.179945713994696
"ASV36",0.0727505911578062,0.157324409399413,0.0181173671267742,0.166445244766916,0.157490466875502,0.139976648372332,0.118994255326326,0.127485830410187,0.158559964125854,0.495358794110445,0.733796294139887,0.121127773629254,0.16370915532638,0.189752959138188,0.151737609414434,0.162534359256758,0.172686102010978,0.162626011495839
"ASV37",0.965381726737011,0.740220187965359,0.203430144741256,0.199582006422256,0.186023489477539,0.196208217033503,0.134593562500462,0.153286619439572,0.189824123799905,0.14554368034329,0.13950172998448,0.0187842657873855,0.178038158683759,0.146243887096554,0.645729481641317,0.158926808235804,0.193381495612868,0.144025733811795
"ASV39",0.200381418152632,0.172135764207138,0.737467481120781,0.168414891787602,0.152712788706963,0.160209107888116,0.156785129581339,0.160237472825903,0.218311003482815,0.0177895262353131,0.15392618662096,0.00049298974983344,0.0211938407289943,0.145759930897602,0.173277250202299,0.190805294461727,0.167693192898513,0.169079058030413
"ASV40",0.12339222720032,0.184787511228821,0.147793233507842,0.148092766890483,0.711665993531023,0.143641015708564,0.0519461229923527,0.15475007332219,0.162644442698474,0.158052944308145,0.161895997765148,0.501392863125845,0.123238484080042,0.176917976086308,0.152114234359652,0.13622106737662,0.153531293129748,0.142700849009446
"ASV42",0.289187203689212,0.169188104139427,0.14015328387039,0.159648647110984,0.187207560564906,0.129276449911976,0.162580723285812,0.232748288126772,0.155422717846474,0.761739413106153,0.136344756449401,0.00128727802801286,0.153759482893141,0.175355622498041,0.144017774549698,0.756010273711613,0.169524101584564,0.158190641430712
"ASV43",0.00114686128818005,0.169750113449409,0.138351381501667,0.179928031826673,0.234097564198292,0.186038133480955,0.161668407643653,0.167498657170429,0.74686977595625,0.0175114110079801,0.140943566209563,0.241247220599755,0.146503236789871,0.171316106845336,0.160285451332699,0.182663689363128,0.138231210716825,0.178847504498252
"ASV45",0.160175817289687,0.177941544388922,0.150609551770673,0.121810853723343,0.269450682816031,0.160498536473041,0.15154216619575,0.207056774957501,0.210799090075757,0.719027936649953,0.150458928179115,0.000494626506590845,0.976995120326789,0.160251394104527,0.153457696990098,0.146019659738892,0.141496406190297,0.747103726604708
"ASV46",0.172997341253196,0.152267977454686,0.20391364884709,0.146793848158005,0.135307568597319,0.308562572637843,0.162178770560881,0.158182002609268,0.16836445139235,0.204162127024124,0.158313351800048,0.121520875023004,0.137693936104056,0.173087082858367,0.18201894083129,0.174258606706529,0.143504567054023,0.158508720595028
"ASV47",0.160176175617728,0.978177071042013,0.716730038580351,0.724452558534305,0.97134930500442,0.736158026497701,0.199280230911003,0.240820501384141,0.741314321917474,0.576314788862085,0.157324409399413,0.0181173671267742,0.166445244766916,0.157490466875502,0.723469115354759,0.723301406195874,0.978869205634735,0.979149631036312
