"","0_SB_15","0_SB_16","100_JS_5","100_MI_3","115_MI_4","120_JF_9","120_JS_2","125_JS_6","140_JS_7","200_JF_11","25_JF_12","50_JS_1","5_JF_TS1","80_JF_10","80_JF_8","80_JF_TS1","80_SB_14","85_JF_TS2"
"ASV33",0.240142196181307,0.240142196181307,0.240142196181307,0.672832194767739,0.240142196181307,0.240142196181307,0.240142196181307,0.240142196181307,0.240142196181307,0.240142196181307,0.240142196181307,0.240142196181307,0.240142196181307,0.672832194767739,0.240142196181307,0.240142196181307,0.240142196181307,0.240142196181307
"ASV34",0.221962848997153,0.221962848997153,0.221962848997153,0.221962848997153,0.221962848997153,0.221962848997153,0.97459845550173,0.221962848997153,0.767897229087712,0.221962848997153,0.221962848997153,0.221962848997153,0.767897229087712,0.221962848997153,0.767897229087712,0.767897229087712,0.221962848997153,0.221962848997153
"ASV36",0.237947178135403,0.237947178135403,0.237947178135403,0.237947178135403,0.237947178135403,0.237947178135403,0.237947178135403,0.237947178135403,0.237947178135403,0.673989822778177,0.673989822778177,0.237947178135403,0.237947178135403,0.237947178135403,0.237947178135403,0.237947178135403,0.237947178135403,0.237947178135403
"ASV37",0.973033245461705,0.684663790071001,0.115552676160878,0.115552676160878,0.115552676160878,0.115552676160878,0.115552676160878,0.115552676160878,0.115552676160878,0.115552676160878,0.115552676160878,0.115552676160878,0.115552676160878,0.115552676160878,0.684663790071001,0.115552676160878,0.115552676160878,0.115552676160878
"ASV39",0.210496883564235,0.210496883564235,0.674917190182963,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235,0.210496883564235
"ASV40",0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452,0.679000603686035,0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452,0.21654009095452
"ASV42",0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.221379567802185,0.68315860614932,0.221379567802185,0.221379567802185
"ASV43",0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618,0.678505462382638,0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618,0.213284137696618
"ASV45",0.111244007922423,0.111244007922423,0.111244007922423,0.111244007922423,0.111244007922423,0.111244007922423,0.111244007922423,0.111244007922423,0.111244007922423,0.680783493849772,0.111244007922423,0.111244007922423,0.97321716830556,0.111244007922423,0.111244007922423,0.111244007922423,0.111244007922423,0.680783493849772
"ASV46",0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845,0.67952953248603,0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845,0.217305521527845
"ASV47",0.33036022944974,0.995971908270897,0.916974740129103,0.916974740129103,0.995971908270897,0.916974740129103,0.33036022944974,0.33036022944974,0.916974740129103,0.916974740129103,0.33036022944974,0.33036022944974,0.33036022944974,0.33036022944974,0.916974740129103,0.916974740129103,0.995971908270897,0.995971908270897
"ASV48",0.226567127859232,0.226567127859232,0.685454119482432,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232,0.226567127859232
"ASV49",0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004,0.686534974813252,0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004,0.223692161726004
"ASV52",0.284383975989881,0.284383975989881,0.284383975989881,0.284383975989881,0.284383975989881,0.284383975989881,0.284383975989881,0.284383975989881,0.284383975989881,0.714691742164758,0.284383975989881,0.714691742164758,0.284383975989881,0.284383975989881,0.284383975989881,0.284383975989881,0.714691742164758,0.714691742164758
"ASV53",0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699,0.681249054600134,0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699,0.221419207110699
"ASV54",0.216771754592804,0.216771754592804,0.682179187421801,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804,0.216771754592804
